401,1972_,361_1972,JUN,7,01:28:00.0,STS-D,49.77306,77.99000,
402,1972_,362_1972,JUL,6,01:03:00.0,STS-D,49.73611,78.10917,
403,1972_,363_Fakel_1972,JUL,9,07:00:01.3,-UK,49.80000,35.40000,
404,1972_,364_1972,JUL,27,10:00,NZ-SS,70.80000,53.80000,
405,1972_,365_1972,AUG,16,03:16:59.8,STS-D,49.77056,78.05722,
406,1972_,366_Region-3_1972,AUG,20,03:00:00.0,-KZ,49.40000,48.14200,
407,1972_,367_1972,AUG,26,03:46:59.7,STS-SU,49.98197,77.71661,
408,1972_,368_1972,AUG,28,05:59:56.87,NZ-NS,73.38800,54.84700,
409,1972_,368_1972,AUG,28,05:59:56.9,NZ-NS,73.38800,54.84700,
410,1972_,368_1972,AUG,28,05:59:56.9,NZ-NS,73.38800,54.84700,
411,1972_,368_1972,AUG,28,05:59:56.9,NZ-NS,73.38800,54.84700,
412,1972_,369_1972,SEP,2,08:56:59.9,STS-SU,49.95942,77.64089,
413,1972_,370_Dnepr-1_1972,SEP,4,07:00:00.0,-RU-M,67.75000,33.10000,
414,1972_,371_Region-1_1972,SEP,21,09:00:00.3,-RU-O,52.11800,52.06800,
415,1972_,372_Region-4_1972,OCT,3,09:00:00.2,-RU,46.85300,44.93800,
416,1972_,373_1972,NOV,2,01:27:00.2,STS-B,49.92697,78.81725,
417,1972_,374_Region-2_1972,NOV,24,09:00:00.0,-RU-O,51.99000,51.86700,
418,1972_,375_Region-5_1972,NOV,24,10:00:00.2,-KZ,51.84200,64.21000,
419,1972_,376_1972,DEC,10,04:27:00.0,STS-D,49.82611,78.09194,
420,1972_,376_1972,DEC,10,04:27:00,STS-D,49.82806,78.05806,
421,1972_,377_1972,DEC,10,04:27:10.0,STS-B,50.02700,78.99556,
422,1972_,378_1972,DEC,28,04:27:00.0,STS-D,49.73611,78.10722,
423,1973_,379_1973,FEB,16,05:03:00.0,STS-D,49.81583,78.10667,
424,1973_,380_1973,APR,19,04:32:59.92,STS-SU,49.98400,77.61400,
425,1973_,381_1973,JUL,10,01:27:00.15,STS-D,49.79111,78.01278,
426,1973_,381_1973,JUL,10,01:27:00.2,STS-D,49.79111,78.01278,
427,1973_,381_1973,JUL,10,01:27:00.2,STS-D,49.79111,78.01278,
428,1973_,382_1973,JUL,23,01:23:00.16,STS-B,49.96889,78.81750,
429,1973_,383_Meridian-3_1973,AUG,15,02:00:00.0,-KZ,42.77500,67.40800,
